Date,Time,Object Name,Object ID,Target Name,Target ID,Min Distance (km),Relative Speed (km/s),Object Since Epoch (days),Target Since Epoch (days),Collision Probability
2026-03-24,00:26:34.348,JILIN-1 GAOFEN 2D,49256,ARLINK-3363,51135,6.992655427825311,6.640408058006682,-0.8100191126577556,2.179041347000748,1.8471150716575118e-05
2026-03-24,00:27:52.485,JILIN-1 GAOFEN 2D,49256,ARLINK-4156,53038,5.715854956252523,14.558633988025829,-0.8091147504746914,2.489579189568758,0.0003157068445072133
2026-03-24,03:33:42.361,JILIN-1 GAOFEN 2D,49256,ARLINK-3450,51734,5.984746661683296,7.945991948225756,-0.6800652616657317,2.241872768383473,3.1382685117383355e-17
2026-03-24,05:05:44.974,JILIN-1 GAOFEN 2D,49256,ARLINK-3560,51859,8.283717512403813,11.670870949363625,-0.6161461276933551,2.302073392085731,1.1248733875805408e-39
2026-03-24,05:06:13.751,JILIN-1 GAOFEN 2D,49256,ARLINK-3699,51966,8.563472389631592,12.983222460786937,-0.6158130588009953,2.2368955109268427,0.00037016317481113775
2026-03-24,09:43:13.514,JILIN-1 GAOFEN 2D,49256,ARLINK-34314,64146,1.139311696088709,8.63404216281592,-0.42345469631254673,2.5077919834293425,0.0005197085349895127
2026-03-24,11:06:53.356,JILIN-1 GAOFEN 2D,49256,ARLINK-4128,53249,7.284488611768458,10.286519195190069,-0.3653546730056405,2.56436623679474,2.8633664700962928e-21
2026-03-24,12:21:02.900,JILIN-1 GAOFEN 2D,49256,ARLINK-5681,55469,9.413381481164269,8.077914530044598,-0.31385531462728977,2.681260425131768,0.0002854894700039002
2026-03-24,16:12:53.360,JILIN-1 GAOFEN 2D,49256,ARLINK-4168,52845,8.858787611631454,13.032755434537204,-0.152854616753757,2.696864893194288,1.1183664793143833e-32
2026-03-24,17:27:32.216,JILIN-1 GAOFEN 2D,49256,ARLINK-3683,53167,6.984829652704557,13.273832155627364,-0.10101600596681237,2.967185713816434,3.87340525538794e-19
2026-03-24,22:10:31.975,JILIN-1 GAOFEN 2D,49256,ARLINK-3153,49431,5.724503508506881,7.78194879618102,0.0955089833587408,2.9576124432496727,2.427589198610974e-10
2026-03-24,02:57:06.629,JILIN-1 GAOFEN 2D,49256,ARLINK-3273,50191,4.797299337268844,5.896134488995059,0.2500767302699387,2.2882202002219856,0.00023134570644466382
2026-03-24,04:17:49.793,JILIN-1 GAOFEN 2D,49256,ARLINK-5942,56014,3.520755549164577,12.772760406360494,0.3061318714171648,2.262370301410556,8.10303468053901e-07
2026-03-24,04:47:01.840,JILIN-1 GAOFEN 2D,49256,ARLINK-5456,55667,7.994748144721334,9.88722948715326,0.32641019066795707,2.3177903909236193,1.747855948025692e-08
2026-03-24,05:27:47.835,JILIN-1 GAOFEN 2D,49256,ARLINK-34047,63821,8.907461431780431,12.724790533894277,0.35472031543031335,2.7648424254730344,7.215567821243675e-28
2026-03-24,06:22:10.943,JILIN-1 GAOFEN 2D,49256,ARLINK-5621,55434,7.0340157862247255,14.095387128773506,0.39248776994645596,2.321962319780141,5.3470647596864274e-08
2026-03-24,06:39:21.088,JILIN-1 GAOFEN 2D,49256,ARLINK-33993,63949,8.583812946061055,5.345411372887222,0.4044107459485531,2.655642395839095,0.00022447705559774367
2026-03-24,09:43:54.447,JILIN-1 GAOFEN 2D,49256,ARLINK-6198,56768,9.24614432220251,10.122323674393858,0.5325746238231659,2.5220914436504245,1.1826469830550421e-43
2026-03-24,13:04:24.769,JILIN-1 GAOFEN 2D,49256,ARLINK-4757,53824,8.47378412787379,6.734677952527067,0.6718144528567791,2.774881072808057,0.00016575449494610198
2026-03-24,13:06:45.997,JILIN-1 GAOFEN 2D,49256,ARLINK-3743,52118,9.124926437031036,14.593883076409607,0.6734490375965834,2.6876712874509394,1.2979053900195494e-17
2026-03-24,13:23:43.534,JILIN-1 GAOFEN 2D,49256,ARLINK-31363,59782,7.792791986424887,10.986791020247171,0.6852260907180607,2.695519550703466,2.1949749019858665e-21
2026-03-24,15:51:48.341,JILIN-1 GAOFEN 2D,49256,ARLINK-36118,67009,5.2070492456045665,14.531891799036304,0.7880594991147518,2.7239128393121064,1.0939280782731904e-07
2026-03-24,20:45:01.072,JILIN-1 GAOFEN 2D,49256,MUR-2-ROUNDTRIPPER,62711,4.311714446313103,5.120346384273046,0.9916790723800659,3.0466342326253653,1.290461119017398e-09
